“ID”,“Name”
1,size
2,valueAnnual
4,piotroski
5,debtIssue
6,shareIssue
8,assetGrowth
9,assetTurnover
11,divYld
12,earningsToPrice
13,cashFlowToMarket
14,investment
15,investmentToCapital
16,investmentgrowth
17,salesgrowth
18,leverage
19,annroa
20,annroe
21,salesToPrice
22,mom6
23,indMom
24,valueMonthly
25,mom12
26,momRev
27,ltRev
28,shareIssuanceMonthly
29,pead
30,robe
31,rome
32,roa
33,strev
34,idioVol
35,beta
36,seasonality
37,indRelativeReversal
38,indMomRev
39,compositeIssuance
40,price
41,firmAge
42,shareVol
43,benchmarkWeight
44,returns_monthly
